OG_ID	NODE_ID	GENE_NUM	GAIN_NUM	BRN_NUM	DUP_NUM	TRN_NUM	LOS_NUM	TRN_DETAIL
OG0000009	outsp1	0	0	0	0	0	0	
OG0000009	outsp2	0	0	0	0	0	0	
OG0000009	N003	0	0	0	0	0	0	
OG0000009	N004	0	0	0	0	0	0	
OG0000009	insp1	0	0	0	0	0	0	
OG0000009	insp2	0	0	0	0	0	0	
OG0000009	N005	2	2	1	1	0	0	
OG0000009	insp3	3	1	0	1	0	0	
OG0000009	N006	2	0	0	0	0	0	
OG0000009	insp4	2	0	0	0	0	0	
OG0000009	insp5	0	0	0	0	0	2	
OG0000010	N001	0	0	0	0	0	0	
OG0000010	N002	0	0	0	0	0	0	
OG0000010	outsp1	0	0	0	0	0	0	
OG0000010	outsp2	0	0	0	0	0	0	
OG0000010	N003	1	1	1	0	0	0	
OG0000010	N004	1	0	0	0	0	0	
OG0000010	insp1	2	1	0	1	0	0	
OG0000010	insp2	1	0	0	0	0	0	
OG0000010	N005	1	0	0	0	0	0	
OG0000010	insp3	1	0	0	0	0	0	
OG0000010	N006	0	0	0	0	0	1	
OG0000010	insp4	0	0	0	0	0	0	
OG0000010	insp5	0	0	0	0	0	0	
OG0000011	N001	1	1	1	0	0	0	
OG0000011	N002	1	0	0	0	0	0	
OG0000011	outsp1	1	0	0	0	0	0	
OG0000011	outsp2	1	0	0	0	0	0	
OG0000011	N003	1	0	0	0	0	0	
OG0000011	N004	1	0	0	0	0	0	
OG0000011	insp1	1	0	0	0	0	0	
OG0000011	insp2	0	0	0	0	0	1	
OG0000011	N005	1	0	0	0	0	0	
OG0000011	insp3	0	0	0	0	0	1	
OG0000011	N006	1	0	0	0	0	0	
OG0000011	insp4	0	0	0	0	0	1	
OG0000011	insp5	1	0	0	0	0	0	
OG0000012	N001	1	1	1	0	0	0	
OG0000012	N002	1	0	0	0	0	0	
OG0000012	outsp1	1	0	0	0	0	0	
OG0000012	outsp2	1	0	0	0	0	0	
OG0000012	N003	1	0	0	0	0	0	
OG0000012	N004	1	0	0	0	0	0	
OG0000012	insp1	1	0	0	0	0	0	
OG0000012	insp2	0	0	0	0	0	1	
OG0000012	N005	1	0	0	0	0	0	
OG0000012	insp3	0	0	0	0	0	1	
OG0000012	N006	1	0	0	0	0	0	
OG0000012	insp4	0	0	0	0	0	1	
OG0000012	insp5	1	0	0	0	0	0	
OG0000013	N001	1	1	1	0	0	0	
OG0000013	N002	1	0	0	0	0	0	
OG0000013	outsp1	1	0	0	0	0	0	
OG0000013	outsp2	1	0	0	0	0	0	
OG0000013	N003	1	0	0	0	0	0	
OG0000013	N004	1	0	0	0	0	0	
OG0000013	insp1	1	0	0	0	0	0	
OG0000013	insp2	0	0	0	0	0	1	
OG0000013	N005	1	0	0	0	0	0	
OG0000013	insp3	0	0	0	0	0	1	
OG0000013	N006	1	0	0	0	0	0	
OG0000013	insp4	0	0	0	0	0	1	
OG0000013	insp5	1	0	0	0	0	0	
OG0000014	N001	1	1	1	0	0	0	
OG0000014	N002	1	0	0	0	0	0	
OG0000014	outsp1	1	0	0	0	0	0	
OG0000014	outsp2	1	0	0	0	0	0	
OG0000014	N003	1	0	0	0	0	0	
OG0000014	N004	1	0	0	0	0	0	
OG0000014	insp1	1	0	0	0	0	0	
OG0000014	insp2	0	0	0	0	0	1	
OG0000014	N005	1	0	0	0	0	0	
OG0000014	insp3	0	0	0	0	0	1	
OG0000014	N006	1	0	0	0	0	0	
OG0000014	insp4	0	0	0	0	0	1	
OG0000014	insp5	1	0	0	0	0	0	
OG0000015	N001	1	1	1	0	0	0	
OG0000015	N002	1	0	0	0	0	0	
OG0000015	outsp1	1	0	0	0	0	0	
OG0000015	outsp2	1	0	0	0	0	0	
OG0000015	N003	1	0	0	0	0	0	
OG0000015	N004	1	0	0	0	0	0	
OG0000015	insp1	1	0	0	0	0	0	
OG0000015	insp2	0	0	0	0	0	1	
OG0000015	N005	1	0	0	0	0	0	
OG0000015	insp3	0	0	0	0	0	1	
OG0000015	N006	1	0	0	0	0	0	
OG0000015	insp4	0	0	0	0	0	1	
OG0000015	insp5	1	0	0	0	0	0	
OG0000016	N001	1	1	1	0	0	0	
OG0000016	N002	1	0	0	0	0	0	
OG0000016	outsp1	1	0	0	0	0	0	
OG0000016	outsp2	1	0	0	0	0	0	
OG0000016	N003	1	0	0	0	0	0	
OG0000016	N004	1	0	0	0	0	0	
OG0000016	insp1	1	0	0	0	0	0	
OG0000016	insp2	0	0	0	0	0	1	
OG0000016	N005	1	0	0	0	0	0	
OG0000016	insp3	0	0	0	0	0	1	
OG0000016	N006	1	0	0	0	0	0	
OG0000016	insp4	0	0	0	0	0	1	
OG0000016	insp5	1	0	0	0	0	0	
OG0000017	N001	1	1	1	0	0	0	
OG0000017	N002	1	0	0	0	0	0	
OG0000017	outsp1	1	0	0	0	0	0	
OG0000017	outsp2	1	0	0	0	0	0	
OG0000017	N003	1	0	0	0	0	0	
OG0000017	N004	1	0	0	0	0	0	
OG0000017	insp1	1	0	0	0	0	0	
OG0000017	insp2	0	0	0	0	0	1	
OG0000017	N005	1	0	0	0	0	0	
OG0000017	insp3	0	0	0	0	0	1	
OG0000017	N006	1	0	0	0	0	0	
